timestamp,filepath,label,color,piece,square_name,square_index,h8_path,g8_path
20250826_031002_971718,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/empty/H8_20250826_031002_971718.png,empty,none,empty,H8,1,,
20250826_031047_134398,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/white_pawn/H8_20250826_031047_134398.png,white_pawn,white,P,H8,1,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/white_pawn/H8_20250826_031047_134398.png,
20250826_031126_255098,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/white_bishop/H8_20250826_031126_255098.png,white_bishop,white,B,H8,1,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/white_bishop/H8_20250826_031126_255098.png,
20250826_031225_553282,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/white_bishop/G8_20250826_031225_553282.png,white_bishop,white,B,G8,2,,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/white_bishop/G8_20250826_031225_553282.png
20250826_031637_560931,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/white_pawn/A1_20250826_031637_560931.png,white_pawn,white,P,A1,0,,
20250826_031646_043383,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/empty/A2_20250826_031646_043383.png,empty,none,empty,A2,1,,
20250826_031649_080870,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/empty/A3_20250826_031649_080870.png,empty,none,empty,A3,2,,
20250826_031651_508245,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/empty/A4_20250826_031651_508245.png,empty,none,empty,A4,3,,
20250826_031653_234365,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/empty/A5_20250826_031653_234365.png,empty,none,empty,A5,4,,
20250826_031655_383245,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/empty/A6_20250826_031655_383245.png,empty,none,empty,A6,5,,
20250826_031658_143336,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/empty/A7_20250826_031658_143336.png,empty,none,empty,A7,6,,
20250826_031659_632343,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/empty/A8_20250826_031659_632343.png,empty,none,empty,A8,7,,
20250826_031701_549069,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/empty/B1_20250826_031701_549069.png,empty,none,empty,B1,8,,
20250826_031703_162419,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/empty/B2_20250826_031703_162419.png,empty,none,empty,B2,9,,
20250826_031704_685718,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/empty/B3_20250826_031704_685718.png,empty,none,empty,B3,10,,
20250826_031706_142959,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/empty/B4_20250826_031706_142959.png,empty,none,empty,B4,11,,
20250826_031707_975801,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/empty/B5_20250826_031707_975801.png,empty,none,empty,B5,12,,
20250826_031709_515829,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/empty/B6_20250826_031709_515829.png,empty,none,empty,B6,13,,
20250826_031711_133310,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/empty/B7_20250826_031711_133310.png,empty,none,empty,B7,14,,
20250826_031714_158218,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/empty/B8_20250826_031714_158218.png,empty,none,empty,B8,15,,
20250826_031715_543518,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/empty/C1_20250826_031715_543518.png,empty,none,empty,C1,16,,
20250826_031716_789853,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/empty/C2_20250826_031716_789853.png,empty,none,empty,C2,17,,
20250826_031719_092882,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/empty/C3_20250826_031719_092882.png,empty,none,empty,C3,18,,
20250826_031727_871513,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/empty/C4_20250826_031727_871513.png,empty,none,empty,C4,19,,
20250826_031732_549847,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/empty/C5_20250826_031732_549847.png,empty,none,empty,C5,20,,
20250826_031734_050051,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/empty/C6_20250826_031734_050051.png,empty,none,empty,C6,21,,
20250826_031735_297932,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/empty/C7_20250826_031735_297932.png,empty,none,empty,C7,22,,
20250826_031736_755105,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/empty/C8_20250826_031736_755105.png,empty,none,empty,C8,23,,
20250826_031738_587017,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/empty/D1_20250826_031738_587017.png,empty,none,empty,D1,24,,
20250826_031740_268278,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/empty/D2_20250826_031740_268278.png,empty,none,empty,D2,25,,
20250826_031741_586467,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/empty/D3_20250826_031741_586467.png,empty,none,empty,D3,26,,
20250826_031742_817476,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/empty/D4_20250826_031742_817476.png,empty,none,empty,D4,27,,
20250826_031743_950425,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/empty/D5_20250826_031743_950425.png,empty,none,empty,D5,28,,
20250826_031747_749101,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/empty/D6_20250826_031747_749101.png,empty,none,empty,D6,29,,
20250826_031750_659888,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/empty/D7_20250826_031750_659888.png,empty,none,empty,D7,30,,
20250826_031756_747039,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/empty/D8_20250826_031756_747039.png,empty,none,empty,D8,31,,
20250826_031757_906613,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/empty/E1_20250826_031757_906613.png,empty,none,empty,E1,32,,
20250826_031758_589126,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/empty/E2_20250826_031758_589126.png,empty,none,empty,E2,33,,
20250826_031804_111602,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/black_pawn/E3_20250826_031804_111602.png,black_pawn,black,P,E3,34,,
20250826_031807_222786,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/empty/E4_20250826_031807_222786.png,empty,none,empty,E4,35,,
20250826_031808_749221,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/empty/E5_20250826_031808_749221.png,empty,none,empty,E5,36,,
20250826_031810_195231,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/empty/E6_20250826_031810_195231.png,empty,none,empty,E6,37,,
20250826_031811_301335,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/empty/E7_20250826_031811_301335.png,empty,none,empty,E7,38,,
20250826_031812_115390,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/empty/E8_20250826_031812_115390.png,empty,none,empty,E8,39,,
20250826_031812_861123,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/empty/F1_20250826_031812_861123.png,empty,none,empty,F1,40,,
20250826_031822_904714,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/empty/F2_20250826_031822_904714.png,empty,none,empty,F2,41,,
20250826_031823_799389,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/empty/F3_20250826_031823_799389.png,empty,none,empty,F3,42,,
20250826_031824_575852,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/empty/F4_20250826_031824_575852.png,empty,none,empty,F4,43,,
20250826_031825_223394,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/empty/F5_20250826_031825_223394.png,empty,none,empty,F5,44,,
20250826_031825_757699,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/empty/F6_20250826_031825_757699.png,empty,none,empty,F6,45,,
20250826_031826_232316,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/empty/F7_20250826_031826_232316.png,empty,none,empty,F7,46,,
20250826_031826_755412,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/empty/F8_20250826_031826_755412.png,empty,none,empty,F8,47,,
20250826_031827_306684,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/empty/G1_20250826_031827_306684.png,empty,none,empty,G1,48,,
20250826_031828_216338,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/empty/G2_20250826_031828_216338.png,empty,none,empty,G2,49,,
20250826_031828_875026,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/empty/G3_20250826_031828_875026.png,empty,none,empty,G3,50,,
20250826_031829_457087,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/empty/G4_20250826_031829_457087.png,empty,none,empty,G4,51,,
20250826_031830_080540,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/empty/G5_20250826_031830_080540.png,empty,none,empty,G5,52,,
20250826_031830_696995,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/empty/G6_20250826_031830_696995.png,empty,none,empty,G6,53,,
20250826_031831_462319,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/empty/G7_20250826_031831_462319.png,empty,none,empty,G7,54,,
20250826_031832_382672,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/empty/G8_20250826_031832_382672.png,empty,none,empty,G8,55,,
20250826_031839_711938,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/white_pawn/H1_20250826_031839_711938.png,white_pawn,white,P,H1,56,,
20250826_031845_392856,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/white_pawn/H2_20250826_031845_392856.png,white_pawn,white,P,H2,57,,
20250826_031850_834990,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/white_bishop/H3_20250826_031850_834990.png,white_bishop,white,B,H3,58,,
20250826_031854_379570,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/white_rook/H4_20250826_031854_379570.png,white_rook,white,R,H4,59,,
20250826_031859_708859,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/white_knight/H5_20250826_031859_708859.png,white_knight,white,N,H5,60,,
20250826_031903_996700,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/white_king/H6_20250826_031903_996700.png,white_king,white,K,H6,61,,
20250826_031906_807970,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/white_bishop/H7_20250826_031906_807970.png,white_bishop,white,B,H7,62,,
20250826_031911_546926,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/white_pawn/H8_20250826_031911_546926.png,white_pawn,white,P,H8,63,,
20250826_033155_893580,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/white_pawn/A1_20250826_033155_893580.png,white_pawn,white,P,A1,0,,
20250826_033159_826949,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/white_pawn/A2_20250826_033159_826949.png,white_pawn,white,P,A2,1,,
20250826_033203_544441,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/empty/A3_20250826_033203_544441.png,empty,none,empty,A3,2,,
20250826_033205_603554,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/empty/A4_20250826_033205_603554.png,empty,none,empty,A4,3,,
20250826_033208_950974,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/white_pawn/A5_20250826_033208_950974.png,white_pawn,white,P,A5,4,,
20250826_033211_507885,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/empty/A6_20250826_033211_507885.png,empty,none,empty,A6,5,,
20250826_033219_531561,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/black_rook/A7_20250826_033219_531561.png,black_rook,black,R,A7,6,,
20250826_033221_983019,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/empty/A8_20250826_033221_983019.png,empty,none,empty,A8,7,,
20250826_033237_617055,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/black_pawn/B1_20250826_033237_617055.png,black_pawn,black,P,B1,8,,
20250826_033240_014437,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/empty/B2_20250826_033240_014437.png,empty,none,empty,B2,9,,
20250826_033247_505756,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/black_pawn/B3_20250826_033247_505756.png,black_pawn,black,P,B3,10,,
20250826_033251_242071,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/black_bishop/B4_20250826_033251_242071.png,black_bishop,black,B,B4,11,,
20250826_033253_342605,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/empty/B5_20250826_033253_342605.png,empty,none,empty,B5,12,,
20250826_033258_497352,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/black_pawn/B6_20250826_033258_497352.png,black_pawn,black,P,B6,13,,
20250826_033300_523954,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/empty/B7_20250826_033300_523954.png,empty,none,empty,B7,14,,
20250826_033302_478660,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/empty/B8_20250826_033302_478660.png,empty,none,empty,B8,15,,
20250826_033313_405954,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/white_pawn/C1_20250826_033313_405954.png,white_pawn,white,P,C1,16,,
20250826_033320_360307,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/black_rook/C2_20250826_033320_360307.png,black_rook,black,R,C2,17,,
20250826_033329_100578,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/black_king/C3_20250826_033329_100578.png,black_king,black,K,C3,18,,
20250826_033332_895425,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/empty/C4_20250826_033332_895425.png,empty,none,empty,C4,19,,
20250826_033334_911239,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/empty/C5_20250826_033334_911239.png,empty,none,empty,C5,20,,
20250826_033336_479510,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/empty/C6_20250826_033336_479510.png,empty,none,empty,C6,21,,
20250826_033337_897294,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/empty/C7_20250826_033337_897294.png,empty,none,empty,C7,22,,
20250826_033339_191906,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/empty/C8_20250826_033339_191906.png,empty,none,empty,C8,23,,
20250826_033343_187191,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/black_pawn/D1_20250826_033343_187191.png,black_pawn,black,P,D1,24,,
20250826_033358_644981,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/black_knight/D2_20250826_033358_644981.png,black_knight,black,N,D2,25,,
20250826_033400_416101,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/empty/D3_20250826_033400_416101.png,empty,none,empty,D3,26,,
20250826_033403_959052,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/white_bishop/D4_20250826_033403_959052.png,white_bishop,white,B,D4,27,,
20250826_033408_051162,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/black_pawn/D5_20250826_033408_051162.png,black_pawn,black,P,D5,28,,
20250826_033409_964866,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/empty/D6_20250826_033409_964866.png,empty,none,empty,D6,29,,
20250826_033411_511859,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/empty/D7_20250826_033411_511859.png,empty,none,empty,D7,30,,
20250826_033412_985870,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/empty/D8_20250826_033412_985870.png,empty,none,empty,D8,31,,
20250826_033416_801675,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/white_pawn/E1_20250826_033416_801675.png,white_pawn,white,P,E1,32,,
20250826_033421_833234,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/white_queen/E2_20250826_033421_833234.png,white_queen,white,Q,E2,33,,
20250826_033453_421711,/Users/andredelacruz/Documents/GitHub/cpchess/perception_api/data_refs/empty/E3_20250826_033453_421711.png,empty,none,empty,E3,34,,
